w,open,open,open,open,open,open,close,close,close,close,close,close,high,high,high,high,high,high,low,low,low,low,low,low,volume,volume,volume,volume,volume,volume,code
,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,
02-01-2012,143.9877358,,,,,,146.0024872,,,,,,146.6637346,,,,,,141.9936479,,,,,,18808107,,,,,,RELIANCE.NS
02-01-2012,,,89.11637392,,,,,,88.69042969,,,,,,89.30337367,,,,,,87.16325342,,,,,,7029996,,,,HDFCBANK.NS
02-01-2012,,,,,107.5525859,,,,,,108.5499573,,,,,,109.0096819,,,,,,106.7655962,,,,,,14927627,,ICICIBANK.NS
02-01-2012,,468.2524695,,,,,,475.3508606,,,,,,478.3152398,,,,,,465.0259237,,,,,,2248542,,,,,TCS.NS
02-01-2012,,,,,,325.8945332,,,,,,321.3033447,,,,,,327.3717031,,,,,,320.5847288,,,,,,772876,HINDUNILVR.NS
02-01-2012,,,,251.8299629,,,,,,256.3706055,,,,,,257.0733738,,,,,,250.2601372,,,,,,5826176,,,INFY.NS
03-01-2012,147.1803131,,,,,,149.7426758,,,,,,150.2076056,,,,,,146.7876919,,,,,,20489219,,,,,,RELIANCE.NS
03-01-2012,,,89.63582242,,,,,,91.24610901,,,,,,91.60972211,,,,,,89.34493321,,,,,,6878476,,,,HDFCBANK.NS
03-01-2012,,,,,109.8667892,,,,,,113.1082458,,,,,,113.6069315,,,,,,109.8667892,,,,,,18500311,,ICICIBANK.NS
03-01-2012,,477.2261583,,,,,,483.0137634,,,,,,487.9745959,,,,,,475.9153745,,,,,,2708884,,,,,TCS.NS
03-01-2012,,,,257.753346,,,,,,261.4223633,,,,,,263.4896017,,,,,,257.3791334,,,,,,8903008,,,INFY.NS
03-01-2012,,,,,,323.5790214,,,,,,325.7348938,,,,,,328.7291475,,,,,,323.5790214,,,,,,1521362,HINDUNILVR.NS
04-01-2012,,,,,,325.4554679,,,,,,315.7540894,,,,,,325.4554679,,,,,,313.5982166,,,,,,2571970,HINDUNILVR.NS
04-01-2012,,485.9580839,,,,,,473.0922241,,,,,,485.9984059,,,,,,471.5999666,,,,,,2386770,,,,,TCS.NS
04-01-2012,,,91.81749399,,,,,,92.10838318,,,,,,92.45122343,,,,,,89.5215397,,,,,,9742956,,,,HDFCBANK.NS
04-01-2012,,,,,114.2926418,,,,,,115.8042755,,,,,,116.7237379,,,,,,113.8251224,,,,,,32952243,,ICICIBANK.NS
04-01-2012,150.310924,,,,,,147.9862061,,,,,,151.0444936,,,,,,147.407613,,,,,,18541902,,,,,,RELIANCE.NS
04-01-2012,,,,259.6608773,,,,,,260.5187988,,,,,,262.3989533,,,,,,259.3003684,,,,,,7341424,,,INFY.NS
05-01-2012,147.7485717,,,,,,144.545639,,,,,,149.8046636,,,,,,143.4297661,,,,,,28959200,,,,,,RELIANCE.NS
05-01-2012,,,92.25383045,,,,,,92.18110657,,,,,,92.81483601,,,,,,91.48504599,,,,,,6761212,,,,HDFCBANK.NS
05-01-2012,,,,259.1315299,,,,,,259.2182312,,,,,,262.4902412,,,,,,258.4241936,,,,,,7125272,,,INFY.NS
05-01-2012,,,,,116.1003793,,,,,,116.5834885,,,,,,117.9392911,,,,,,115.1653403,,,,,,23203350,,ICICIBANK.NS
05-01-2012,,,,,,315.3148857,,,,,,314.0772705,,,,,,318.4688428,,,,,,310.8035481,,,,,,3679775,HINDUNILVR.NS
05-01-2012,,473.0116086,,,,,,472.6889343,,,,,,477.932071,,,,,,470.8134948,,,,,,2547312,,,,,TCS.NS
06-01-2012,144.0393897,,,,,,148.275528,,,,,,149.6083683,,,,,,143.9567355,,,,,,20575210,,,,,,RELIANCE.NS
06-01-2012,,,,259.0220014,,,,,,258.4880676,,,,,,261.7235787,,,,,,256.5668687,,,,,,7087632,,,INFY.NS
06-01-2012,,,91.63050198,,,,,,94.18618011,,,,,,94.98613021,,,,,,91.20455774,,,,,,7954444,,,,HDFCBANK.NS
06-01-2012,,,,,115.6328389,,,,,,117.1444855,,,,,,118.9054618,,,,,,113.451086,,,,,,22273933,,ICICIBANK.NS
06-01-2012,,,,,,314.3966232,,,,,,316.8319397,,,,,,319.1075773,,,,,,310.084903,,,,,,1730249,HINDUNILVR.NS
06-01-2012,,470.2689064,,,,,,471.6401978,,,,,,479.2830561,,,,,,466.5583995,,,,,,2119728,,,,,TCS.NS
09-01-2012,147.6349587,,,,,,145.940506,,,,,,147.6349587,,,,,,145.1552634,,,,,,18386646,,,,,,RELIANCE.NS
09-01-2012,,,,,,314.8358131,,,,,,314.157135,,,,,,316.0734527,,,,,,311.8016455,,,,,,1662954,HINDUNILVR.NS
09-01-2012,,,93.89528893,,,,,,94.6848526,,,,,,94.97574181,,,,,,92.66939462,,,,,,8463936,,,,HDFCBANK.NS
09-01-2012,,,,259.8890723,,,,,,258.889679,,,,,,261.6049379,,,,,,257.1236108,,,,,,8265784,,,INFY.NS
09-01-2012,,,,,116.2562264,,,,,,116.5367355,,,,,,117.6587719,,,,,,113.9186289,,,,,,18357806,,ICICIBANK.NS
09-01-2012,,472.2853927,,,,,,472.4265442,,,,,,475.7942397,,,,,,469.9663142,,,,,,1509028,,,,,TCS.NS
10-01-2012,,473.8987296,,,,,,470.026886,,,,,,478.1335693,,,,,,467.2439815,,,,,,3591790,,,,,TCS.NS
10-01-2012,,,95.57829183,,,,,,95.51596069,,,,,,96.05618075,,,,,,94.74717624,,,,,,8982772,,,,HDFCBANK.NS
10-01-2012,,,,261.9425734,,,,,,261.3584595,,,,,,262.4354181,,,,,,260.135439,,,,,,11179176,,,INFY.NS
