wealth,return,weights,prices
9900.400059964253,-0.010009926572568162,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0164,0.9756,1.0064,0.9871,1.0073,0.9925"
9936.494583283062,0.003639134431285763,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9848,0.9582,1.0086,0.9157,1.0016,1.0039"
9852.604840193155,-0.008478429848679178,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9931,0.9966,1.0063,0.9984,1.0103,0.9939"
9612.414897695471,-0.024680389507172107,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9742,1.0218,0.9806,1.0217,1.0027,0.9865"
9517.132383022285,-0.009961898340344543,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0408,0.9951,1.0172,1.0083,0.9924,1.0291"
9277.474594623169,-0.02550420759377839,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0508,0.9748,1.0288,0.9812,0.9798,0.9865"
9280.37509726252,0.0003125903820891735,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0076,0.9994,1.0102,0.9934,1.0358,0.9978"
9244.487111818265,-0.0038745800034754225,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0089,1.0037,1.0077,0.9977,1.0568,0.9994"
9182.850481883599,-0.006689719498152793,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9734,0.9983,0.9866,1.0044,1.0170,1.0115"
9228.004980771662,0.00490521361363209,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0158,1.0102,1.0099,1.0079,1.0365,0.9936"
9192.42806587039,-0.0038627712006672386,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0092,1.0113,1.0029,1.0172,0.9910,1.0011"
9033.951503698387,-0.017390239836308743,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0372,1.0098,0.9878,1.0222,1.0090,0.9909"
9013.221439118608,-0.002297320889281412,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9687,1.0027,0.9894,0.9953,0.9597,0.9805"
9213.687055934251,0.02199755383130104,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0281,1.0186,1.0272,1.0124,1.0586,0.9911"
9186.197382038608,-0.0029880290217424023,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0173,0.9967,1.0103,0.9988,0.9864,1.0153"
9313.676968577633,0.013781888667002294,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9977,1.0171,1.0015,1.0052,1.0140,1.0155"
9315.847622237983,0.0002330337158730693,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0109,1.0205,1.0168,1.0095,1.0155,1.0274"
9319.638591166453,0.0004068548507241025,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9937,1.0190,1.0029,0.9978,1.0128,0.9643"
9318.974981638294,-7.120803549549882e-05,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0139,1.0035,1.0032,0.9821,1.0105,0.9873"
9303.422609388725,-0.001670287167835575,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0164,1.0181,0.9983,1.0153,0.9816,1.0167"
9207.591665528082,-0.010354030154487508,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9947,1.0073,1.0277,1.0147,1.0210,1.0124"
9105.80518162655,-0.011116182638438664,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9876,1.0039,0.9903,0.9931,0.9901,0.9849"
9097.51006705156,-0.0009113851005540035,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0071,0.9938,1.0086,0.9993,1.0045,1.0112"
8996.182540655653,-0.01120043187233421,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9996,0.9953,0.9922,1.0045,1.0097,1.0003"
8874.290493344835,-0.013641937450732148,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9856,1.0177,1.0293,1.0225,1.0397,0.9915"
8720.04033647287,-0.017534524101413897,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9711,0.9869,0.9876,1.0157,0.9874,0.9885"
8700.627526935357,-0.0022287110603630127,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0071,1.0028,1.0035,1.0134,1.0132,1.0027"
8708.960245933713,0.0009572563972642685,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0310,1.0068,1.0071,0.9968,1.0099,0.9918"
8791.028495804196,0.009379303349107967,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9880,1.0124,0.9989,1.0048,0.9661,0.9910"
8843.325899482665,0.005931326526326019,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0074,1.0059,1.0032,0.9935,0.9856,1.0256"
8658.118476474048,-0.02116560589222653,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9766,1.0081,0.9841,1.0051,0.9870,0.9941"
8508.76863630028,-0.017400196943729403,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9530,0.9859,0.9828,0.9781,0.9526,0.9848"
8493.089477403399,-0.0018444058569181219,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0193,0.9796,1.0289,0.9962,1.0263,1.0032"
8418.768911146182,-0.008789222685102628,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0304,0.9962,0.9747,1.0038,0.9951,0.9972"
8326.204415749295,-0.011055907520217508,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9881,0.9981,0.9940,0.9907,0.9748,1.0004"
8339.300402849529,0.0015716283351016544,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0039,0.9981,1.0092,0.9962,1.0217,1.0066"
8257.184675461542,-0.009895637189276729,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9796,0.9918,0.9850,0.9874,0.9642,0.9992"
8179.954052302465,-0.00939715759151521,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9737,0.9956,0.9931,1.0152,0.9804,0.9939"
8076.7792081746,-0.01269335330483626,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,0.9810,0.9924,1.0163,1.0110,1.0081,1.0126"
8183.084614266524,0.01307599152577387,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0158,1.0132,1.0146,0.9901,1.0628,0.9929"
8075.695844899488,-0.013210133602845838,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","1.0000,1.0320,0.9839,0.9919,0.9867,1.0161,0.9956"
